title,conference,year,primary_org,primary_funder,orgs,funders,candidates,verdicts,url
Adversarial Perturbations Cannot Reliably Protect Artists From Generative AI,ICLR,2025,University/Independent/other,,Google DeepMind,,Google DeepMind,Google DeepMind=affiliation,https://openreview.net/forum?id=yfW1x7uBS5
AutoBencher: Towards Declarative Benchmark Construction,ICLR,2025,University/Independent/other,Open Philanthropy,,Open Philanthropy,Open Philanthropy; Hugging Face,Open Philanthropy=acknowledgment; Hugging Face=mention,https://openreview.net/forum?id=ymt4crbbXh
Language Models Learn to Mislead Humans via RLHF,ICLR,2025,University/Independent/other,Open Philanthropy,Anthropic,Open Philanthropy,Open Philanthropy; Anthropic,Open Philanthropy=acknowledgment; Anthropic=affiliation,https://openreview.net/forum?id=xJljiPE6dg
Raising the Bar: Investigating the Values of Large Language Models via Generative Evolving Testing,ICML,2025,University/Independent/other,,Microsoft Research,,Microsoft Research,Microsoft Research=affiliation,https://openreview.net/forum?id=0REM9ydeLZ
Great Models Think Alike and this Undermines AI Oversight,ICML,2025,University/Independent/other,Open Philanthropy,,Open Philanthropy,Open Philanthropy; Hugging Face,Open Philanthropy=acknowledgment; Hugging Face=mention,https://openreview.net/forum?id=3Z827FtMNe
CVE-Bench: A Benchmark for AI Agents’ Ability to Exploit Real-World Web Application Vulnerabilities,ICML,2025,University/Independent/other,Open Philanthropy,US CAISI,Open Philanthropy,UK AI Security Institute; US CAISI; AI Safety Institute (generic); Open Philanthropy,UK AI Security Institute=absent; US CAISI=acknowledgment; AI Safety Institute (generic)=absent; Open Philanthropy=acknowledgment,https://openreview.net/forum?id=3pk0p4NGmQ
The Geometry of Refusal in Large Language Models: Concept Cones and Representational Independence,ICML,2025,University/Independent/other,,Anthropic,,Anthropic; OpenAI,Anthropic=affiliation; OpenAI=mention,https://openreview.net/forum?id=80IwJqlXs8
The Hidden Life of Tokens: Reducing Hallucination of Large Vision-Language Models Via Visual Information Steering,ICML,2025,University/Independent/other,,Google DeepMind,,Google DeepMind,Google DeepMind=affiliation,https://openreview.net/forum?id=7BKcLeHQsm
Vulnerability-Aware Alignment: Mitigating Uneven Forgetting in Harmful Fine-Tuning,ICML,2025,University/Independent/other,,Microsoft Research,,Microsoft Research,Microsoft Research=affiliation,https://openreview.net/forum?id=EMHED4WTHT
AutoAdvExBench: Benchmarking Autonomous Exploitation of Adversarial Example Defenses,ICML,2025,University/Independent/other,,Google DeepMind,,Google DeepMind,Google DeepMind=affiliation,https://openreview.net/forum?id=FJKnru1xUF
Learning Safety Constraints for Large Language Models,ICML,2025,University/Independent/other,Open Philanthropy,,Open Philanthropy; Future of Life Institute,Open Philanthropy; Future of Life Institute,Open Philanthropy=acknowledgment; Future of Life Institute=acknowledgment,https://openreview.net/forum?id=Ffpc7vx6qq
Adversaries Can Misuse Combinations of Safe Models,ICML,2025,University/Independent/other,,Anthropic; OpenAI,,Anthropic; OpenAI,Anthropic=acknowledgment; OpenAI=acknowledgment,https://openreview.net/forum?id=GCkhEPE1FG
Activation Space Interventions Can Be Transferred Between Large Language Models,ICML,2025,University/Independent/other,,Apart Research,,Apart Research,Apart Research=acknowledgment,https://openreview.net/forum?id=HXOicJsmMQ
LLM Alignment as Retriever Optimization: An Information Retrieval Perspective,ICML,2025,University/Independent/other,,Google DeepMind,,Google DeepMind,Google DeepMind=affiliation,https://openreview.net/forum?id=K1LcmG2jQN
Avoiding Catastrophe in Online Learning by Asking for Help,ICML,2025,University/Independent/other,,Center for Human-Compatible AI,,Center for Human-Compatible AI; Scale AI SEAL,Center for Human-Compatible AI=acknowledgment; Scale AI SEAL=absent,https://openreview.net/forum?id=Lwn9T8Yoti
Internal Causal Mechanisms Robustly Predict Language Model Out-of-Distribution Behaviors,ICML,2025,University/Independent/other,Open Philanthropy,,Open Philanthropy,Open Philanthropy,Open Philanthropy=acknowledgment,https://openreview.net/forum?id=Ofa1cspTrv
"Weak-to-Strong Generalization Even in Random Feature Networks, Provably",ICML,2025,University/Independent/other,,OpenAI,,OpenAI,OpenAI=acknowledgment,https://openreview.net/forum?id=OUzDIhgiqr
PILAF: Optimal Human Preference Sampling for Reward Modeling,ICML,2025,University/Independent/other,,Meta AI,,Meta AI,Meta AI=affiliation,https://openreview.net/forum?id=Qap9pHIkI8
The Perils of Optimizing Learned Reward Functions: Low Training Error Does Not Guarantee Low Regret,ICML,2025,University/Independent/other,Open Philanthropy,,Open Philanthropy,Open Philanthropy; Anthropic,Open Philanthropy=acknowledgment; Anthropic=mention,https://openreview.net/forum?id=SkYBAXPUBw
Just Enough Shifts: Mitigating Over-Refusal in Aligned Language Models with Targeted Representation Fine-Tuning,ICML,2025,University/Independent/other,,OpenAI,,OpenAI,OpenAI=acknowledgment,https://openreview.net/forum?id=TiYOHdK35L
"REINFORCE Adversarial Attacks on Large Language Models: An Adaptive, Distributional, and Semantic Objective",ICML,2025,University/Independent/other,,Anthropic,,Anthropic,Anthropic=affiliation,https://openreview.net/forum?id=QWpuqidr53
"SafetyAnalyst: Interpretable, Transparent, and Steerable Safety Moderation for AI Behavior",ICML,2025,University/Independent/other,Foresight Institute,,Foresight Institute,Foresight Institute,Foresight Institute=acknowledgment,https://openreview.net/forum?id=WUGrleBcYP
Extractive Structures Learned in Pretraining Enable Generalization on Finetuned Facts,ICML,2025,University/Independent/other,Open Philanthropy,OpenAI,Open Philanthropy,Open Philanthropy; OpenAI,Open Philanthropy=acknowledgment; OpenAI=acknowledgment,https://openreview.net/forum?id=W0GrWqqTJo
ProSec: Fortifying Code LLMs with Proactive Security Alignment,ICML,2025,University/Independent/other,,Center for AI Safety,,Center for AI Safety; Anthropic; Hugging Face,Center for AI Safety=acknowledgment; Anthropic=mention; Hugging Face=mention,https://openreview.net/forum?id=Ym19zWky7W
AssistanceZero: Scalably Solving Assistance Games,ICML,2025,University/Independent/other,Open Philanthropy,,Open Philanthropy,Open Philanthropy,Open Philanthropy=acknowledgment,https://openreview.net/forum?id=b9hVMJi0t2
An Interpretable N-gram Perplexity Threat Model for Large Language Model Jailbreaks,ICML,2025,University/Independent/other,Open Philanthropy,,Open Philanthropy,Open Philanthropy,Open Philanthropy=acknowledgment,https://openreview.net/forum?id=ckZbP606Bt
Strategy Coopetition Explains the Emergence and Transience of In-Context Learning,ICML,2025,University/Independent/other,,Anthropic; Google DeepMind,,Anthropic; Google DeepMind,Anthropic=affiliation; Google DeepMind=affiliation,https://openreview.net/forum?id=esBoQFmD7v
MELON: Provable Defense Against Indirect Prompt Injection Attacks in AI Agents,ICML,2025,University/Independent/other,,FAR.AI; OpenAI,,FAR.AI; Anthropic; OpenAI,FAR.AI=acknowledgment; Anthropic=mention; OpenAI=acknowledgment,https://openreview.net/forum?id=gt1MmGaKdZ
The Elicitation Game: Evaluating Capability Elicitation Techniques,ICML,2025,University/Independent/other,Open Philanthropy,Frontier Model Forum,Open Philanthropy,UK AI Security Institute; Frontier Model Forum; Open Philanthropy; Anthropic; OpenAI; Google DeepMind,UK AI Security Institute=mention; Frontier Model Forum=acknowledgment; Open Philanthropy=acknowledgment; Anthropic=mention; OpenAI=mention; Google DeepMind=mention,https://openreview.net/forum?id=kT0EVqL77E
Validating Mechanistic Interpretations: An Axiomatic Approach,ICML,2025,University/Independent/other,,Scale AI SEAL,,Scale AI SEAL,Scale AI SEAL=affiliation,https://openreview.net/forum?id=qBtomgvLwn
RATE: Causal Explainability of Reward Models with Imperfect Counterfactuals,ICML,2025,University/Independent/other,Open Philanthropy,,Open Philanthropy,Open Philanthropy,Open Philanthropy=acknowledgment,https://openreview.net/forum?id=rL3uxe5a0c
AlphaVerus: Bootstrapping Formally Verified Code Generation through Self-Improving Translation and Treefinement,ICML,2025,University/Independent/other,,OpenAI,,OpenAI,OpenAI=acknowledgment,https://openreview.net/forum?id=tU8QKX4dMI
Invariance Makes LLM Unlearning Resilient Even to Unanticipated Downstream Fine-Tuning,ICML,2025,University/Independent/other,Open Philanthropy,,Open Philanthropy,Open Philanthropy,Open Philanthropy=acknowledgment,https://openreview.net/forum?id=x2lm33kdrZ
Emergent Symbolic Mechanisms Support Abstract Reasoning in Large Language Models,ICML,2025,University/Independent/other,,Microsoft Research,,Microsoft Research,Microsoft Research=affiliation,https://openreview.net/forum?id=y1SnRPDWx4
Representations Shape Weak-to-Strong Generalization: Theoretical Insights and Empirical Predictions,ICML,2025,University/Independent/other,,OpenAI,,OpenAI,OpenAI=acknowledgment,https://openreview.net/forum?id=ypEW077kle
Measuring the Faithfulness of Thinking Drafts in Large Reasoning Models,NEURIPS,2025,University/Independent/other,,OpenAI,,Anthropic; OpenAI,Anthropic=mention; OpenAI=acknowledgment,https://openreview.net/forum?id=1UL4dxvfcJ
Mechanism Design for LLM Fine-tuning with Multiple Reward Models,NEURIPS,2025,University/Independent/other,,Microsoft Research,,Microsoft Research,Microsoft Research=affiliation,https://openreview.net/forum?id=3JUhkxVlyF
Information Retrieval Induced Safety Degradation in AI Agents,NEURIPS,2025,University/Independent/other,,OpenAI,,OpenAI,OpenAI=acknowledgment,https://openreview.net/forum?id=2hiNrfMmQ7
Reinforcement Learning with Backtracking Feedback,NEURIPS,2025,University/Independent/other,,Google DeepMind,,Google DeepMind,Google DeepMind=affiliation,https://openreview.net/forum?id=14B5d6NEaH
Large language models can learn and generalize steganographic chain-of-thought under process supervision,NEURIPS,2025,University/Independent/other,,MATS,,MATS; LessWrong / Alignment Forum,MATS=acknowledgment; LessWrong / Alignment Forum=mention,https://openreview.net/forum?id=2g5cJqX15Y
Aligning Compound AI Systems via System-level DPO,NEURIPS,2025,University/Independent/other,,OpenAI; Mila,,OpenAI; Mila,OpenAI=acknowledgment; Mila=affiliation,https://openreview.net/forum?id=6IuURCuooO
What Makes a Reward Model a Good Teacher? An Optimization Perspective,NEURIPS,2025,University/Independent/other,Open Philanthropy,OpenAI,Open Philanthropy,Open Philanthropy; OpenAI,Open Philanthropy=acknowledgment; OpenAI=acknowledgment,https://openreview.net/forum?id=7pufO0SJAC
"Same Task, Different Circuits: Disentangling Modality-Specific Mechanisms in VLMs",NEURIPS,2025,University/Independent/other,Open Philanthropy,,Open Philanthropy,Open Philanthropy,Open Philanthropy=acknowledgment,https://openreview.net/forum?id=AD8ksC9bw1
Do LLMs Really Forget? Evaluating Unlearning  with Knowledge Correlation and Confidence Awareness,NEURIPS,2025,University/Independent/other,,OpenAI,,OpenAI,OpenAI=acknowledgment,https://openreview.net/forum?id=BmEH70Wjcu
Martingale Score: An Unsupervised Metric for Bayesian Rationality in LLM Reasoning,NEURIPS,2025,University/Independent/other,Open Philanthropy,,Open Philanthropy; Foresight Institute,Open Philanthropy; Foresight Institute,Open Philanthropy=acknowledgment; Foresight Institute=acknowledgment,https://openreview.net/forum?id=BfO6od6JD6
Robust LLM Alignment via Distributionally Robust Direct Preference Optimization,NEURIPS,2025,University/Independent/other,,Google DeepMind,,Google DeepMind,Google DeepMind=affiliation,https://openreview.net/forum?id=D19hc2XPeZ
Personalized Safety in LLMs: A Benchmark and A Planning-Based Agent Approach,NEURIPS,2025,University/Independent/other,,Microsoft Research,,Microsoft Research,Microsoft Research=affiliation,https://openreview.net/forum?id=Gsi42ohBoM
Better Language Model Inversion by Compactly Representing Next-Token Distributions,NEURIPS,2025,University/Independent/other,,Allen Institute for AI,,Allen Institute for AI,Allen Institute for AI=acknowledgment,https://openreview.net/forum?id=FZp6cheXt2
TAI3: Testing Agent Integrity in Interpreting User Intent,NEURIPS,2025,University/Independent/other,,Center for AI Safety,,Center for AI Safety,Center for AI Safety=acknowledgment,https://openreview.net/forum?id=Gf4oPoluAV
Simplicity Prevails: Rethinking Negative Preference Optimization for LLM Unlearning,NEURIPS,2025,University/Independent/other,Open Philanthropy,Center for AI Safety,Open Philanthropy,Center for AI Safety; Open Philanthropy,Center for AI Safety=acknowledgment; Open Philanthropy=acknowledgment,https://openreview.net/forum?id=JbvSQm5h1l
Erasing Conceptual Knowledge from Language Models,NEURIPS,2025,University/Independent/other,Open Philanthropy,Anthropic,Open Philanthropy,Open Philanthropy; Anthropic,Open Philanthropy=acknowledgment; Anthropic=affiliation,https://openreview.net/forum?id=N5V3dlIck9
Transferring Linear Features Across Language Models With Model Stitching,NEURIPS,2025,University/Independent/other,,Goodfire,,Goodfire; Google DeepMind,Goodfire=affiliation; Google DeepMind=mention,https://openreview.net/forum?id=Qvvy0X63Fv
Probing Hidden Knowledge Holes in Unlearned LLMs,NEURIPS,2025,University/Independent/other,,OpenAI,,OpenAI,OpenAI=acknowledgment,https://openreview.net/forum?id=TFidSatsOC
When Are Concepts Erased From Diffusion Models?,NEURIPS,2025,University/Independent/other,Open Philanthropy,,Open Philanthropy,Open Philanthropy,Open Philanthropy=acknowledgment,https://openreview.net/forum?id=UKt31LbRPI
MIP against Agent: Malicious Image Patches Hijacking Multimodal OS Agents,NEURIPS,2025,University/Independent/other,,UK AI Security Institute,,UK AI Security Institute; Anthropic,UK AI Security Institute=acknowledgment; Anthropic=mention,https://openreview.net/forum?id=ToNRHqX6xq
IF-Guide: Influence Function-Guided Detoxification of LLMs,NEURIPS,2025,University/Independent/other,,Anthropic,,Anthropic,Anthropic=affiliation,https://openreview.net/forum?id=V82wLePv0o
Evaluating LLMs in Open-Source Games,NEURIPS,2025,University/Independent/other,Foresight Institute,Cooperative AI Foundation,Foresight Institute,Cooperative AI Foundation; Foresight Institute,Cooperative AI Foundation=acknowledgment; Foresight Institute=acknowledgment,https://openreview.net/forum?id=X9SNL203cV
LLM Safety Alignment is Divergence Estimation in Disguise,NEURIPS,2025,University/Independent/other,Open Philanthropy,,Open Philanthropy,Open Philanthropy,Open Philanthropy=acknowledgment,https://openreview.net/forum?id=axlGOT58e8
Generalization or Hallucination? Understanding Out-of-Context Reasoning in Transformers,NEURIPS,2025,University/Independent/other,Open Philanthropy,Center for Human-Compatible AI,Open Philanthropy,Center for Human-Compatible AI; Open Philanthropy,Center for Human-Compatible AI=acknowledgment; Open Philanthropy=acknowledgment,https://openreview.net/forum?id=ZkGHzGIaMB
Deep Value Benchmark: Measuring Whether Models Generalize Deep Values or Shallow Preferences,NEURIPS,2025,University/Independent/other,,OpenAI,,OpenAI,OpenAI=acknowledgment,https://openreview.net/forum?id=bzxlOyjWbU
AI Debate Aids Assessment of Controversial Claims,NEURIPS,2025,University/Independent/other,,OpenAI,,OpenAI; Scale AI SEAL,OpenAI=acknowledgment; Scale AI SEAL=absent,https://openreview.net/forum?id=aXpbgG5z6I
Inference-Time Reward Hacking in Large Language Models,NEURIPS,2025,University/Independent/other,,OpenAI,,OpenAI,OpenAI=acknowledgment,https://openreview.net/forum?id=hSX7Dd8dxy
Language Models Can Predict Their Own Behavior,NEURIPS,2025,University/Independent/other,Open Philanthropy,,Open Philanthropy,Open Philanthropy; Hugging Face,Open Philanthropy=acknowledgment; Hugging Face=mention,https://openreview.net/forum?id=i8IqEzpHaJ
Temporal Logic-Based Multi-Vehicle Backdoor Attacks against Offline RL Agents in End-to-end Autonomous Driving,NEURIPS,2025,University/Independent/other,,Center for AI Safety,,Center for AI Safety,Center for AI Safety=acknowledgment,https://openreview.net/forum?id=ifavjJaKQa
Large Language Models Think Too Fast To Explore Effectively,NEURIPS,2025,University/Independent/other,,OpenAI,,OpenAI,OpenAI=acknowledgment,https://openreview.net/forum?id=jW8nBi6y9F
Towards Interpretability Without Sacrifice: Faithful Dense Layer Decomposition with Mixture of Decoders,NEURIPS,2025,University/Independent/other,Open Philanthropy,,Open Philanthropy,Open Philanthropy; OpenAI,Open Philanthropy=acknowledgment; OpenAI=mention,https://openreview.net/forum?id=jcvX8XFNqX
AgentBreeder: Mitigating the AI Safety Risks of Multi-Agent Scaffolds via Self-Improvement,NEURIPS,2025,University/Independent/other,,LISA; Arcadia Impact,,UK AI Security Institute; LISA; Arcadia Impact; Anthropic,UK AI Security Institute=mention; LISA=acknowledgment; Arcadia Impact=acknowledgment; Anthropic=mention,https://openreview.net/forum?id=mlU9KqdZUS
Topology of Reasoning: Understanding Large Reasoning Models through Reasoning Graph Properties,NEURIPS,2025,University/Independent/other,,Google DeepMind,,Anthropic; OpenAI; Google DeepMind,Anthropic=mention; OpenAI=mention; Google DeepMind=affiliation,https://openreview.net/forum?id=o1g8NWkxqf
Don’t Forget the Enjoin: FocalLoRA for Instruction Hierarchical Alignment in Large Language Models,NEURIPS,2025,University/Independent/other,,Microsoft Research,,Microsoft Research,Microsoft Research=affiliation,https://openreview.net/forum?id=o2y6BS6mm0
LLM Unlearning via Neural Activation Redirection,NEURIPS,2025,University/Independent/other,,Meta AI,,Meta AI,Meta AI=affiliation,https://openreview.net/forum?id=teB4aqJsNP
Pinpointing Attention-Causal Communication in Language Models,NEURIPS,2025,University/Independent/other,Open Philanthropy,,Open Philanthropy,Open Philanthropy,Open Philanthropy=acknowledgment,https://openreview.net/forum?id=wUoK24u4x7
AutoRedTeamer: Autonomous Red Teaming with Lifelong Attack Integration,NEURIPS,2025,University/Independent/other,,Meta AI,,Anthropic; OpenAI; Meta AI,Anthropic=mention; OpenAI=mention; Meta AI=affiliation,https://openreview.net/forum?id=xQH4lDLIC0
AlphaSteer: Learning Refusal Steering with Principled Null-Space Constraint,ICLR,2026,University/Independent/other,,Shanghai AI Laboratory,,OpenAI; Shanghai AI Laboratory,OpenAI=mention; Shanghai AI Laboratory=affiliation,https://openreview.net/forum?id=1vvbzAqdTe
Model Collapse Is Not a Bug but a Feature in Machine Unlearning for LLMs,ICLR,2026,University/Independent/other,,Mila,,Mila,Mila=affiliation,https://openreview.net/forum?id=1MCQzboBrR
LH-DECEPTION: Simulating and Understanding LLM Deceptive Behaviors in Long-Horizon Interactions,ICLR,2026,University/Independent/other,Open Philanthropy,,Open Philanthropy,Open Philanthropy; Anthropic,Open Philanthropy=acknowledgment; Anthropic=mention,https://openreview.net/forum?id=2r10vpYiti
Language Models Use Lookbacks to Track Beliefs,ICLR,2026,University/Independent/other,Open Philanthropy,Goodfire,Open Philanthropy,Goodfire; Open Philanthropy; Hugging Face,Goodfire=affiliation; Open Philanthropy=acknowledgment; Hugging Face=mention,https://openreview.net/forum?id=6gO6KTRMpG
Priors in time: Missing inductive biases for language model interpretability,ICLR,2026,University/Independent/other,,Goodfire; MATS,,Goodfire; Neuronpedia; MATS; Google DeepMind,Goodfire=affiliation; Neuronpedia=absent; MATS=acknowledgment; Google DeepMind=mention,https://openreview.net/forum?id=4J2e3nWiC8
How Do Transformers Learn to Associate Tokens: Gradient Leading Terms Bring Mechanistic Interpretability,ICLR,2026,University/Independent/other,Open Philanthropy,,Open Philanthropy,Open Philanthropy,Open Philanthropy=acknowledgment,https://openreview.net/forum?id=A4Us8jxVGq
Learning to summarize user information for personalized reinforcement learning from human feedback,ICLR,2026,University/Independent/other,,Microsoft Research,,Microsoft Research,Microsoft Research=affiliation,https://openreview.net/forum?id=Ar078WR3um
Beyond Linear Probes: Dynamic Safety Monitoring for Language Models,ICLR,2026,University/Independent/other,,UK AI Security Institute,,UK AI Security Institute,UK AI Security Institute=acknowledgment,https://openreview.net/forum?id=AGWa8whf92
JULI: Jailbreak Large Language Models by Self-Introspection,ICLR,2026,University/Independent/other,Open Philanthropy,Center for AI Safety; OpenAI,Open Philanthropy,Center for AI Safety; Open Philanthropy; OpenAI,Center for AI Safety=acknowledgment; Open Philanthropy=acknowledgment; OpenAI=acknowledgment,https://openreview.net/forum?id=JDtIrWYB4o
Markovian Transformers for Informative Language Modeling,ICLR,2026,University/Independent/other,Open Philanthropy,Stanford Center for AI Safety,Open Philanthropy,Center for AI Safety; Stanford Center for AI Safety; Open Philanthropy,Center for AI Safety=absent; Stanford Center for AI Safety=acknowledgment; Open Philanthropy=acknowledgment,https://openreview.net/forum?id=OMjcX1Z6Uu
HARP: Hallucination Detection via Reasoning Subspace Projection,ICLR,2026,University/Independent/other,,OpenAI,,OpenAI,OpenAI=acknowledgment,https://openreview.net/forum?id=ShEDWasmDG
Downgrade to Upgrade: Optimizer Simplification Enhances Robustness in LLM Unlearning,ICLR,2026,University/Independent/other,Open Philanthropy,Center for AI Safety,Open Philanthropy,Center for AI Safety; Open Philanthropy,Center for AI Safety=acknowledgment; Open Philanthropy=acknowledgment,https://openreview.net/forum?id=Sswng2ToR4
ImpossibleBench: Measuring LLMs' Propensity of Exploiting Test Cases,ICLR,2026,University/Independent/other,,Anthropic; OpenAI,,METR; Anthropic; OpenAI,METR=mention; Anthropic=affiliation; OpenAI=acknowledgment,https://openreview.net/forum?id=SeO4vyAj7E
Jailbreak Transferability Emerges from Shared Representations,ICLR,2026,University/Independent/other,Open Philanthropy,,Open Philanthropy; Long-Term Future Fund,Open Philanthropy; Long-Term Future Fund; Google DeepMind,Open Philanthropy=acknowledgment; Long-Term Future Fund=acknowledgment; Google DeepMind=mention,https://openreview.net/forum?id=UQK3tUsouK
Mixing Mechanisms: How Language Models Retrieve Bound Entities In-Context,ICLR,2026,University/Independent/other,Open Philanthropy,Goodfire,Open Philanthropy,Goodfire; Open Philanthropy,Goodfire=affiliation; Open Philanthropy=acknowledgment,https://openreview.net/forum?id=UJ2UUjT2ko
EigenBench: A Comparative Behavioral Measure of Value Alignment,ICLR,2026,University/Independent/other,Open Philanthropy,,Open Philanthropy,Open Philanthropy,Open Philanthropy=acknowledgment,https://openreview.net/forum?id=fm79KXJIUQ
Align to Misalign: Automatic LLM Jailbreak with Meta-Optimized LLM Judges,ICLR,2026,University/Independent/other,,Microsoft Research,,Anthropic; Microsoft Research,Anthropic=mention; Microsoft Research=affiliation,https://openreview.net/forum?id=gGjwMNAYAr
Noisy but Valid: Robust Statistical Evaluation of LLMs with Imperfect Judges,ICLR,2026,University/Independent/other,,Google DeepMind,,Anthropic; Google DeepMind,Anthropic=mention; Google DeepMind=affiliation,https://openreview.net/forum?id=hEhxreaLdU
WorldGym: World Model as An Environment for Policy Evaluation,ICLR,2026,University/Independent/other,,Google DeepMind,,OpenAI; Google DeepMind,OpenAI=absent; Google DeepMind=affiliation,https://openreview.net/forum?id=hidBHy1CAw
LLMs Process Lists With General Filter Heads,ICLR,2026,University/Independent/other,Open Philanthropy,,Open Philanthropy,Open Philanthropy; Hugging Face,Open Philanthropy=acknowledgment; Hugging Face=mention,https://openreview.net/forum?id=iPFlJESrsh
What Do Large Language Models Know About Opinions?,ICLR,2026,University/Independent/other,,Center for Human-Compatible AI,,Center for Human-Compatible AI,Center for Human-Compatible AI=acknowledgment,https://openreview.net/forum?id=kHVzEjThKE
PropensityBench: Evaluating Latent Safety Risks in Large Language Models via an Agentic Approach,ICLR,2026,University/Independent/other,,Scale AI SEAL; Google DeepMind,,OpenAI; Scale AI SEAL; Google DeepMind,OpenAI=mention; Scale AI SEAL=affiliation; Google DeepMind=affiliation,https://openreview.net/forum?id=jOTQupHx7q
Searching for Privacy Risks in LLM Agents via Simulation,ICLR,2026,University/Independent/other,Open Philanthropy,,Open Philanthropy,UK AI Security Institute; Open Philanthropy,UK AI Security Institute=mention; Open Philanthropy=acknowledgment,https://openreview.net/forum?id=nz4ZqbrBEi
Cognitive models can reveal interpretable value trade-offs in language models,ICLR,2026,University/Independent/other,,Google DeepMind,,Google DeepMind,Google DeepMind=affiliation,https://openreview.net/forum?id=nM2QhvybwI
Emergence of Superposition: Unveiling the Training Dynamics of Chain of Continuous Thought,ICLR,2026,University/Independent/other,Open Philanthropy,Center for Human-Compatible AI; Meta AI,Open Philanthropy,Center for Human-Compatible AI; Open Philanthropy; Meta AI,Center for Human-Compatible AI=acknowledgment; Open Philanthropy=acknowledgment; Meta AI=affiliation,https://openreview.net/forum?id=lsJwX9Jf5u
Into the Rabbit Hull: From Task-Relevant Concepts in DINO to Minkowski Geometry,ICLR,2026,University/Independent/other,,Google DeepMind,,Google DeepMind,Google DeepMind=affiliation,https://openreview.net/forum?id=pbbRmnFkjG
AdAEM: An Adaptively and Automated Extensible Measurement of LLMs' Value Difference,ICLR,2026,University/Independent/other,,Microsoft Research,,OpenAI; Microsoft Research,OpenAI=mention; Microsoft Research=affiliation,https://openreview.net/forum?id=qNlTH4kYJZ
What's In My Human Feedback? Learning Interpretable Descriptions of Preference Data,ICLR,2026,University/Independent/other,Open Philanthropy,Meta AI,Open Philanthropy,Open Philanthropy; Meta AI,Open Philanthropy=acknowledgment; Meta AI=affiliation,https://openreview.net/forum?id=sC6A1bFDUt
Understanding Language Prior of LVLMs by Contrasting Chain-of-Embedding,ICLR,2026,University/Independent/other,Open Philanthropy,,Open Philanthropy,Open Philanthropy; OpenAI,Open Philanthropy=acknowledgment; OpenAI=mention,https://openreview.net/forum?id=wnTnwWKu72
Towards Cognitively-Faithful Decision-Making Models to Improve AI Alignment,ICLR,2026,University/Independent/other,,OpenAI,,OpenAI,OpenAI=acknowledgment,https://openreview.net/forum?id=ziP9zetlLp
VERA-V: Variational Inference Framework for Jailbreaking Vision-Language Models,ICML,2026,University/Independent/other,,OpenAI,,OpenAI,OpenAI=acknowledgment,https://icml.cc/virtual/2026/poster/61094
How to Avoid Debate: Scalable AI Safety via Doubly-Efficient Interactive Proofs,ICML,2026,University/Independent/other,,UK AI Security Institute,,UK AI Security Institute; LessWrong / Alignment Forum,UK AI Security Institute=acknowledgment; LessWrong / Alignment Forum=mention,https://icml.cc/virtual/2026/poster/60508
Distributional Open-Ended Evaluation of LLM Cultural Value Alignment Based on Value Codebook,ICML,2026,University/Independent/other,,Microsoft Research,,Microsoft Research,Microsoft Research=affiliation,https://icml.cc/virtual/2026/poster/60551
Safety Recovery in Reasoning Models Is Only a Few Early Steering Steps Away,ICML,2026,University/Independent/other,Open Philanthropy,,Open Philanthropy,Open Philanthropy,Open Philanthropy=acknowledgment,https://icml.cc/virtual/2026/poster/61339
Algorithmic Primitives and Compositional Geometry of Reasoning in Language Models,ICML,2026,University/Independent/other,,Microsoft Research,,Microsoft Research,Microsoft Research=affiliation,https://icml.cc/virtual/2026/poster/61476
Training LLM Agents to Empower Humans,ICML,2026,University/Independent/other,Open Philanthropy,,Open Philanthropy,Open Philanthropy,Open Philanthropy=acknowledgment,https://icml.cc/virtual/2026/poster/61627
ABC-Bench: An Agentic Bio-Capabilities Benchmark for Biosecurity,ICML,2026,University/Independent/other,Survival and Flourishing Fund,,Survival and Flourishing Fund,Survival and Flourishing Fund; Anthropic; OpenAI,Survival and Flourishing Fund=acknowledgment; Anthropic=mention; OpenAI=mention,https://icml.cc/virtual/2026/poster/60590
Decomposing Query-Key Feature Interactions Using Contrastive Covariances,ICML,2026,University/Independent/other,,OpenAI; Google DeepMind,,Open Philanthropy; OpenAI; Google DeepMind,Open Philanthropy=absent; OpenAI=acknowledgment; Google DeepMind=affiliation,https://icml.cc/virtual/2026/poster/61168
Split Personality Training: Revealing Latent Knowledge Through Alternate Personalities,ICML,2026,University/Independent/other,Open Philanthropy,SPAR,Open Philanthropy,SPAR; Open Philanthropy; Anthropic,SPAR=acknowledgment; Open Philanthropy=acknowledgment; Anthropic=mention,https://icml.cc/virtual/2026/poster/60519
Dissecting Multimodal In-Context Learning: Modality Asymmetries and Circuit Dynamics in modern Transformers,ICML,2026,University/Independent/other,,Google DeepMind,,Google DeepMind,Google DeepMind=affiliation,https://icml.cc/virtual/2026/poster/62542
Rapid Poison: Practical Poisoning Attacks Against the Rapid Response Framework,ICML,2026,University/Independent/other,,Anthropic; Google DeepMind,,Anthropic; OpenAI; Google DeepMind,Anthropic=affiliation; OpenAI=mention; Google DeepMind=affiliation,https://icml.cc/virtual/2026/poster/62293
CausalArmor: Efficient Indirect Prompt Injection Guardrails via Causal Attribution,ICML,2026,University/Independent/other,,Google DeepMind,,Google DeepMind,Google DeepMind=affiliation,https://icml.cc/virtual/2026/poster/62590
